 ! Swift/XRT lightcurve of trigger: 848890, name: GRB 180720B
 ! T0 for this burst is Swift MET=553789325.9 s, = 2018 Jul 20 at 14:21:44.587 UT
 ! Data covers 0.3-10 keV
 ! The data are in 5 columns:  ! time, time error (+ve), time error (-ve), source flux, source error
 ! For a detailed description of light curve production, see Evans et al. 2007 (A&A, 469, 379 )
 ! For a detailed description of the file, see
 ! http://www.swift.ac.uk/xrt_curves/docs.php
 ! This lightcurve was obtained from http://www.swift.ac.uk/xrt_curves/00848890
 ! BINMODE: GRB-like (counts)

! WTSLEW data
!Time    	T_+ve   	T_-ve   	Flux    	Fluxpos 	Fluxneg
311.389	0.425	-0.529	8.6980725e-09	1.14839517e-09	-2.837828e+01
312.481	0.503	-0.667	6.9772404e-09	9.3436512e-10	-2.294981e+01
313.412	0.362	-0.428	1.06366728e-08	1.35475821e-09	-3.372568e+01
314.195	0.518	-0.421	8.9448255e-09	1.15336806e-09	-2.836136e+01
315.297	0.469	-0.584	7.9034787e-09	1.0691538e-09	-2.536624e+01
316.273	0.436	-0.507	8.911032e-09	1.16568114e-09	-2.825423e+01
317.118	0.558	-0.408	8.4549231e-09	1.15325574e-09	-2.781216e+01
318.123	0.439	-0.447	9.5716725e-09	1.26597159e-09	-2.998878e+01
319.023	0.517	-0.461	8.5868562e-09	1.14199761e-09	-2.722764e+01
319.836	0.335	-0.296	1.34277156e-08	1.71343458e-09	-4.206358e+01
320.520	0.474	-0.348	1.01126649e-08	1.2909156e-09	-3.206422e+01
321.402	0.430	-0.408	9.4574649e-09	1.24641621e-09	-3.035372e+01
322.360	0.449	-0.528	8.189766e-09	1.06409355e-09	-2.596731e+01
323.262	0.405	-0.454	9.2222949e-09	1.22151354e-09	-2.959896e+01
324.199	0.402	-0.532	8.6437884e-09	1.09424874e-09	-2.707746e+01
324.940	0.373	-0.338	1.11359196e-08	1.4697852e-09	-3.574072e+01
325.737	0.455	-0.424	9.0169404e-09	1.21514289e-09	-2.894028e+01
326.637	0.327	-0.445	1.03598664e-08	1.31930019e-09	-3.284863e+01
327.330	0.484	-0.365	9.1631007e-09	1.21607148e-09	-3.013961e+01
328.211	0.503	-0.398	8.803119e-09	1.18480908e-09	-2.825457e+01
329.203	0.489	-0.490	7.9470495e-09	1.06675023e-09	-2.613998e+01
330.151	0.491	-0.459	8.1066297e-09	1.09768893e-09	-2.699692e+01
331.167	0.520	-0.525	7.5170862e-09	1.0147215e-09	-2.442554e+01
332.078	0.407	-0.392	1.01072361e-08	1.29079977e-09	-3.166275e+01
333.077	0.673	-0.592	6.2653305e-09	8.1764943e-10	-2.010856e+01
334.267	0.556	-0.517	7.4566128e-09	9.7444113e-10	-2.364271e+01
335.292	0.474	-0.469	8.1679728e-09	1.13597328e-09	-2.720132e+01
336.185	0.400	-0.419	9.7746558e-09	1.31038908e-09	-3.099259e+01
337.082	0.451	-0.498	8.2005729e-09	1.09426005e-09	-2.697366e+01
337.983	0.363	-0.451	9.7473207e-09	1.26317919e-09	-3.128401e+01
338.776	0.518	-0.431	8.357505e-09	1.11276204e-09	-2.682341e+01
339.735	0.445	-0.441	8.7770826e-09	1.15746072e-09	-2.886990e+01
340.675	0.495	-0.495	7.9975077e-09	1.03407837e-09	-2.566796e+01
341.690	0.522	-0.519	7.5415704e-09	1.02280503e-09	-2.450715e+01
342.596	0.388	-0.384	1.04362323e-08	1.38119085e-09	-3.270211e+01
343.484	0.471	-0.501	8.295456e-09	1.05904695e-09	-2.598678e+01
344.455	0.453	-0.500	7.9832259e-09	1.0915632e-09	-2.691934e+01
345.380	0.454	-0.471	8.5497984e-09	1.14804222e-09	-2.744060e+01
346.319	0.410	-0.485	8.8386675e-09	1.1533275e-09	-2.836784e+01
347.280	0.593	-0.551	6.9792372e-09	8.8167144e-10	-2.212927e+01
348.420	0.448	-0.547	8.0277717e-09	1.0237032e-09	-2.545364e+01
349.350	0.530	-0.483	7.7402403e-09	1.04823693e-09	-2.514828e+01
350.405	0.599	-0.525	6.8365323e-09	9.5078958e-10	-2.277180e+01
351.419	0.448	-0.415	9.0808536e-09	1.23306924e-09	-2.950510e+01
352.439	0.582	-0.572	6.7873299e-09	9.2556009e-10	-2.205228e+01
353.662	0.521	-0.641	6.6858948e-09	9.0973467e-10	-2.199213e+01
354.674	0.536	-0.490	7.7835693e-09	1.03814724e-09	-2.467963e+01
355.635	0.436	-0.425	9.192885e-09	1.24305285e-09	-2.950459e+01
356.689	0.606	-0.618	6.4063896e-09	8.4195384e-10	-2.081437e+01
357.658	0.464	-0.363	9.6585528e-09	1.22558358e-09	-3.062435e+01
358.600	0.574	-0.478	7.5991851e-09	9.7170294e-10	-2.409473e+01
359.671	0.424	-0.497	8.5088796e-09	1.10713746e-09	-2.764558e+01
360.437	0.496	-0.342	9.2692275e-09	1.23932367e-09	-3.048870e+01
361.463	0.513	-0.530	7.6641006e-09	9.7908291e-10	-2.430055e+01
362.446	0.590	-0.471	7.4653644e-09	9.7102083e-10	-2.396006e+01
363.556	0.526	-0.520	7.6371906e-09	1.02149424e-09	-2.421542e+01
364.577	0.501	-0.495	7.7203425e-09	1.07934528e-09	-2.571235e+01
365.500	0.518	-0.422	8.5043556e-09	1.13743266e-09	-2.697190e+01
